,0
30102,1.991261601448059
30103,2.1918604373931885
30104,2.3749465942382812
30105,2.5354421138763428
30106,2.6191954612731934
30107,2.60829496383667
30108,1.9585347175598145
30109,1.992451548576355
30110,2.033884286880493
30111,2.0986433029174805
30112,2.134990930557251
30113,2.119839668273926
30114,2.0500266551971436
30115,1.9547826051712036
30116,1.8724042177200317
30117,1.789270043373108
30118,1.7137181758880615
30119,1.7730836868286133
30120,1.9327583312988281
30121,2.141155958175659
30122,2.333052635192871
30123,2.492255210876465
30124,2.58294677734375
30125,2.5757956504821777
30126,2.016321897506714
30127,2.000535726547241
30128,2.0021097660064697
30129,2.0310654640197754
30130,2.0664820671081543
30131,2.078933000564575
30132,2.067253828048706
30133,2.062162399291992
30134,2.03967547416687
30135,1.9512605667114258
30136,1.8115079402923584
30137,1.779638409614563
30138,1.8901381492614746
30139,2.0796685218811035
30140,2.2560505867004395
30141,2.419231414794922
30142,2.5258288383483887
30143,2.5462849140167236
30144,2.051436424255371
30145,2.013324499130249
30146,1.9980239868164062
30147,2.0001087188720703
30148,2.034886598587036
30149,2.0684516429901123
30150,2.113790512084961
30151,2.1834771633148193
30152,2.2265818119049072
30153,2.148261308670044
30154,1.9440172910690308
30155,1.812231421470642
30156,1.869659185409546
30157,1.994871735572815
30158,2.1481316089630127
30159,2.302084445953369
30160,2.4392101764678955
30161,2.0661022663116455
30162,2.03141713142395
30163,2.0078675746917725
30164,2.005239725112915
30165,2.036268472671509
30166,2.0930838584899902
30167,2.179957151412964
30168,2.3129351139068604
30169,2.4162497520446777
30170,2.3631839752197266
30171,2.1131887435913086
30172,1.884244441986084
30173,1.838689923286438
30174,1.9083970785140991
30175,2.0338950157165527
30176,2.1678802967071533
30177,2.070091962814331
30178,2.0469117164611816
30179,2.0300045013427734
30180,2.035764217376709
30181,2.0713515281677246
30182,2.144611120223999
30183,2.260852813720703
30184,2.428039789199829
30185,2.5793681144714355
30186,2.5657315254211426
30187,2.289017677307129
30188,1.984821081161499
30189,1.8383923768997192
30190,1.8413134813308716
30191,1.9299204349517822
30192,2.092207431793213
30193,2.082630157470703
30194,2.0882513523101807
30195,2.1072659492492676
30196,2.1539571285247803
30197,2.2244160175323486
30198,2.3465468883514404
30199,2.519397020339966
30200,2.684938430786133
30201,2.70573353767395
30202,2.457664728164673
30203,2.1101112365722656
30204,1.87419855594635
30205,1.8155187368392944
30206,2.161395788192749
30207,2.1743099689483643
30208,2.187302589416504
30209,2.2070274353027344
30210,2.238503932952881
30211,2.299079656600952
30212,2.418861150741577
30213,2.5861432552337646
30214,2.7468671798706055
30215,2.785233497619629
30216,2.5975189208984375
30217,2.239813804626465
30218,1.943721055984497
30219,2.2530405521392822
30220,2.2684671878814697
30221,2.280592441558838
30222,2.288111448287964
30223,2.3133726119995117
30224,2.3797781467437744
30225,2.484816312789917
30226,2.633383274078369
30227,2.7753515243530273
30228,2.8523945808410645
30229,2.721998929977417
30230,2.384291172027588
30231,2.342745780944824
30232,2.360729455947876
30233,2.3840746879577637
30234,2.380082845687866
30235,2.4114761352539062
30236,2.463766574859619
30237,2.560676336288452
30238,2.699477195739746
30239,2.8341145515441895
30240,2.9171953201293945
30241,2.8462095260620117
30242,2.4301953315734863
30243,2.4570581912994385
30244,2.4688475131988525
30245,2.4860455989837646
30246,2.526479482650757
30247,2.5879225730895996
30248,2.692225456237793
30249,2.831613302230835
30250,2.9549646377563477
30251,3.0159575939178467
30252,2.5306735038757324
30253,2.5548057556152344
30254,2.569946765899658
30255,2.593824625015259
30256,2.6435041427612305
30257,2.7147390842437744
30258,2.8420143127441406
30259,2.9801220893859863
30260,3.082242727279663
30261,2.6202802658081055
30262,2.647364854812622
30263,2.6583244800567627
30264,2.680248260498047
30265,2.725094795227051
30266,2.821906089782715
30267,2.9567997455596924
30268,3.0738887786865234
30269,2.6856279373168945
30270,2.7022674083709717
30271,2.7193400859832764
30272,2.740513801574707
30273,2.7957916259765625
30274,2.888171672821045
30275,3.0093586444854736
30276,2.718322277069092
30277,2.7365598678588867
30278,2.754694700241089
30279,2.77470326423645
30280,2.8270843029022217
30281,2.906674861907959
30282,2.7269856929779053
30283,2.7501087188720703
30284,2.7514383792877197
30285,2.768766164779663
30286,2.8112945556640625
30287,2.718456268310547
30288,2.721938371658325
30289,2.7165541648864746
30290,2.7463788986206055
30291,2.6864335536956787
30292,2.6713449954986572
30293,2.682908058166504
30294,2.6364905834198
30295,2.625094175338745
30296,2.5842835903167725
30297,3.1321139335632324
30298,3.1484193801879883
30299,3.179624319076538
30300,3.240180253982544
30301,3.3070058822631836
30302,3.3650825023651123
30303,3.414705276489258
30304,3.4283523559570312
30305,3.4126930236816406
