,parcellation_group,corrected_thickness,curvature,myelin_map,smoothed_myelin_map,sulcal_depth,thickness
27021,68,2.8034896850585938,0.07995361089706421,1.2192301750183105,1.2183213233947754,0.0968196839094162,2.8394198417663574
27022,98,2.82304048538208,0.08536548167467117,1.2137179374694824,1.2138681411743164,0.1374017894268036,2.861462354660034
27023,98,2.843041181564331,0.08603448420763016,1.2088602781295776,1.208878993988037,0.17058292031288147,2.8815805912017822
27024,98,2.851386070251465,0.0795823484659195,1.2040218114852905,1.2042744159698486,0.192522794008255,2.891207456588745
27025,98,2.867661476135254,0.07048671692609787,1.1992952823638916,1.2006511688232422,0.20845814049243927,2.8933236598968506
27026,98,2.8753223419189453,0.06386484950780869,1.196859359741211,1.1977424621582031,0.22168682515621185,2.8924057483673096
27027,98,2.8743832111358643,0.057098984718322754,1.1964354515075684,1.196241855621338,0.23393423855304718,2.8851511478424072
27028,84,2.5541739463806152,0.02370145358145237,1.2225106954574585,1.2219035625457764,-0.08079458028078079,2.539364814758301
27029,84,2.567655324935913,0.032780326902866364,1.2198901176452637,1.2198516130447388,-0.04289649426937103,2.5615029335021973
27030,84,2.5860352516174316,0.034730732440948486,1.2151721715927124,1.2164629697799683,-0.015889545902609825,2.5792996883392334
27031,84,2.5843639373779297,0.035608261823654175,1.2138454914093018,1.213767647743225,0.0027386860456317663,2.5774295330047607
27032,84,2.5774741172790527,0.042732201516628265,1.211709976196289,1.2112067937850952,0.020406343042850494,2.5821094512939453
27033,84,2.5796687602996826,0.04732464998960495,1.208277702331543,1.2080374956130981,0.02145327255129814,2.583780288696289
27034,84,2.5845260620117188,0.046695515513420105,1.205810785293579,1.2049615383148193,0.005082892253994942,2.588980197906494
27035,84,2.58459210395813,0.04779808968305588,1.2010222673416138,1.2013953924179077,-0.008411582559347153,2.5910258293151855
27036,84,2.581787347793579,0.04387788474559784,1.1978747844696045,1.199498176574707,-0.03532484173774719,2.5806009769439697
27037,84,2.5853142738342285,0.035959985107183456,1.1988856792449951,1.2002500295639038,-0.0764322504401207,2.584853172302246
27038,84,2.598193883895874,0.027568046003580093,1.203110694885254,1.2029627561569214,-0.11878607422113419,2.5850794315338135
27039,84,2.5959582328796387,0.016469426453113556,1.2069364786148071,1.2065837383270264,-0.15903311967849731,2.572004556655884
27040,84,2.5918941497802734,0.00721164932474494,1.2102309465408325,1.2095142602920532,-0.19113190472126007,2.557753801345825
27041,84,2.5915422439575195,0.002734448993578553,1.212485432624817,1.2116076946258545,-0.21114301681518555,2.5519795417785645
27042,84,2.5896968841552734,0.005063687916845083,1.2146304845809937,1.2132776975631714,-0.2224854677915573,2.551053285598755
27043,84,2.5947933197021484,0.011897969990968704,1.2165865898132324,1.2146357297897339,-0.22327598929405212,2.563805341720581
27044,86,2.607996940612793,0.017363836988806725,1.2182908058166504,1.2157145738601685,-0.22727026045322418,2.5806145668029785
27045,86,2.6108431816101074,0.022825779393315315,1.2174423933029175,1.215103268623352,-0.22938156127929688,2.590993642807007
27046,86,2.615748882293701,0.028515851125121117,1.2171428203582764,1.2148820161819458,-0.23176339268684387,2.5994954109191895
27047,86,2.6146671772003174,0.02748693712055683,1.2186779975891113,1.2154592275619507,-0.23990678787231445,2.598331928253174
27048,86,2.620404005050659,0.024747250601649284,1.2188529968261719,1.216362714767456,-0.25251835584640503,2.603595733642578
27049,86,2.6328866481781006,0.02096381038427353,1.2199398279190063,1.21794593334198,-0.27270010113716125,2.611356019973755
27050,86,2.64113450050354,0.01866750791668892,1.220876693725586,1.2181267738342285,-0.29481133818626404,2.616856098175049
27051,86,2.64039945602417,0.01342400349676609,1.2211518287658691,1.2186938524246216,-0.32147499918937683,2.611679792404175
27052,86,2.6459195613861084,0.0003610065032262355,1.2204350233078003,1.2188637256622314,-0.35768455266952515,2.6033525466918945
27053,68,2.6549453735351562,-0.010420741513371468,1.2214865684509277,1.219368577003479,-0.39398711919784546,2.603062868118286
27054,68,2.67191481590271,-0.018259471282362938,1.2221848964691162,1.2205387353897095,-0.42673224210739136,2.6113109588623047
27055,68,2.6772754192352295,-0.023569617420434952,1.2239577770233154,1.2231820821762085,-0.45031967759132385,2.6112093925476074
27056,68,2.675689220428467,-0.02789260633289814,1.2272586822509766,1.2261626720428467,-0.470492959022522,2.605282783508301
27057,68,2.6717052459716797,-0.032851483672857285,1.2305353879928589,1.2298229932785034,-0.48333409428596497,2.5992772579193115
27058,68,2.6627025604248047,-0.04038427770137787,1.2350326776504517,1.234437108039856,-0.48863574862480164,2.585170269012451
27059,68,2.657874822616577,-0.0434793122112751,1.2405586242675781,1.2394015789031982,-0.48282575607299805,2.578697919845581
27060,68,2.659398078918457,-0.043395597487688065,1.2461061477661133,1.2437553405761719,-0.4642893970012665,2.584127426147461
